date,EU-28 (excl NL),Austria,Belgium,Bulgaria,Czech Republic,Denmark,Finland,France,Germany,Greece,Hungary,Ireland,Italy,Poland,Portugal,Romania,Slovakia,Slovenia,Spain,United Kingdom
04/02/2015,0.263248188,0.108271482,0.028039694,0.604130685,0.587262267,0.444819246,0.177745429,0.038238562,0.530732895,0.292598673,0.114512943,0.218559222,0,0.872307562,0.222533096,0.230547629,0.229226276,0.338736443,0.140736938,0.345013492
05/02/2015,0.256130581,0.115124769,0.031712261,0.606172431,0.561544401,0.382596192,0.18211529,0.032425465,0.521960001,0.280449632,0.116349268,0.222044207,0,0.865086319,0.221488643,0.23261518,0.24603348,0.364506491,0.151244219,0.315674367
06/02/2015,0.250068095,0.10201514,0.031261517,0.560228681,0.582552401,0.326566711,0.11572453,0.030063885,0.524528821,0.254487293,0.135201409,0.216322649,0,0.828452507,0.246047811,0.204290556,0.260444384,0.399353696,0.172514009,0.31205899
07/02/2015,0.232964439,0.015074468,0.035754408,0.533650442,0.556982941,0.299715025,0.081144459,0.026869327,0.44495797,0.232728109,0.15218688,0.244684784,0,0.729353685,0.28360922,0.195051495,0.247623675,0.369301788,0.208505647,0.330179995
08/02/2015,0.213566369,0.012058672,0.038241962,0.55622654,0.46820133,0.304294886,0.092638185,0.028587026,0.347058881,0.228950223,0.163719897,0.267400704,0,0.695626873,0.249530933,0.246959297,0.252134041,0.396395277,0.171006178,0.333976017
09/02/2015,0.236895814,0.061676412,0.034463214,0.580716169,0.558930707,0.270636816,0.123733587,0.034194406,0.415877898,0.264622847,0.154067485,0.217536312,0,0.778148842,0.226903106,0.240669297,0.239047888,0.358781448,0.198725287,0.317944718
10/02/2015,0.269450721,0.09336827,0.024028476,0.572879783,0.611164901,0.293098233,0.098666204,0.035337053,0.524485865,0.287384861,0.15186899,0.231588879,0,0.814301727,0.253727726,0.218916894,0.238823811,0.366747603,0.261705599,0.350882568
11/02/2015,0.28096843,0.1045693,0.018970146,0.561807144,0.579787661,0.461919185,0.092386862,0.040326912,0.563672762,0.285587644,0.118940247,0.224981388,0,0.865903439,0.257051353,0.200624082,0.244632466,0.373614548,0.259938827,0.347371825
12/02/2015,0.286043406,0.109665062,0.019154775,0.579683111,0.56967171,0.475125897,0.128372008,0.041812432,0.573200331,0.302967781,0.124641534,0.212834181,0,0.863057305,0.262794051,0.209664144,0.236502995,0.364601349,0.267328772,0.35209979
13/02/2015,0.273739217,0.109212634,0.019433523,0.597091038,0.574255714,0.436927725,0.132599033,0.039919235,0.55397921,0.29764652,0.156496078,0.191848831,0,0.836919349,0.251209806,0.177765172,0.193616905,0.272540583,0.237999305,0.326292865
14/02/2015,0.259537887,0.047976293,0.020557049,0.606584589,0.562475222,0.385796757,0.070515554,0.032997833,0.553226464,0.285567261,0.165650462,0.244713585,0,0.830267403,0.262408259,0.17165514,0.173001252,0.22458583,0.082461099,0.382394493
15/02/2015,0.244153069,0.03714795,0.021715852,0.620186654,0.549412873,0.347557346,0.075415102,0.025031768,0.50401878,0.316190816,0.170458011,0.175606022,0,0.775464047,0.198543027,0.214605876,0.155266838,0.179191426,0.077663086,0.372255095
16/02/2015,0.255511533,0.064870923,0.01998756,0.597052979,0.556840298,0.327747563,0.079073719,0.038231189,0.511944072,0.310988177,0.132481546,0.227822165,0,0.754199264,0.265188661,0.200372918,0.195371094,0.283073221,0.157885647,0.35778676
17/02/2015,0.26391103,0.105752262,0.019819281,0.578188532,0.603001231,0.377171038,0.074739474,0.040909035,0.546571807,0.306636591,0.151984762,0.204001972,0,0.819197784,0.186657314,0.19656063,0.222252661,0.351501361,0.121670027,0.348498019
18/02/2015,0.26312922,0.106499798,0.035214236,0.578353504,0.600724585,0.272659441,0.075360546,0.041826729,0.548436763,0.265850545,0.15285942,0.127632977,0,0.808673664,0.199027833,0.199407457,0.210329622,0.30603691,0.161679029,0.337154129
19/02/2015,0.261005019,0.10666754,0.036345237,0.617058093,0.58196457,0.239994105,0.070700488,0.040377029,0.502234095,0.276913494,0.152857155,0.192468675,0,0.789478127,0.251766181,0.198760861,0.207521087,0.302958391,0.19004714,0.355977365
20/02/2015,0.250543314,0.063384082,0.036942485,0.658788602,0.564615415,0.270946054,0.066444695,0.0340625,0.459220201,0.289702937,0.155331568,0.226076625,0,0.787852427,0.264482214,0.169239411,0.152613492,0.193742903,0.191505535,0.360349395
21/02/2015,0.225629176,0.037700677,0.03964959,0.595354565,0.533696766,0.36896452,0.068935238,0.024130063,0.444786304,0.299947678,0.169663823,0.219216879,0,0.758501389,0.114301654,0.164110577,0.14422526,0.195387658,0.069187715,0.346172826
22/02/2015,0.232182242,0.051448747,0.038905016,0.602536381,0.554781162,0.364654216,0.070852071,0.021911236,0.498742632,0.317409429,0.135552647,0.144900877,0,0.819369302,0.039983792,0.204754162,0.138890928,0.178483327,0.046855437,0.33231782
23/02/2015,0.224947821,0.05822625,0.035248075,0.618245053,0.537197141,0.31824837,0.072191226,0.036099937,0.420492248,0.322161998,0.157200436,0.161791756,0,0.814998681,0.155356948,0.180699622,0.151250551,0.187697271,0.047609506,0.311040546
